Geneid	Chr	Start	End	Strand	Length	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16	S17	S17_S17	S18	S19	S20	S21	S22	S23	S24	S24_S24	S25	S25_S25	S26	S26_S26	S27	S28	S28_S28	S29_S29	S31_S31	S32_S32	S33_S33	gene_name
b0852	NC_000913.3	891967	892869	+	903	10	12	20	16	20	8	12	10	10	8	13	22	27	19	7	14	15	13	3	16	33	40	8	3	5	16	28	48	26	15	28	41	50	149	17	4	47	rimK
b0853	NC_000913.3	892957	893433	+	477	26	15	22	15	25	23	23	25	20	35	9	34	52	30	21	16	21	3	14	51	44	36	19	10	4	18	55	31	51	9	37	61	39	98	27	5	39	ybjN
b0854	NC_000913.3	893784	894896	+	1113	11	21	18	15	21	9	24	9	4	19	28	14	12	19	5	15	18	7	7	7	8	3	7	5	1	11	8	101	10	20	11	11	38	17	62	10	8	potF
b0855	NC_000913.3	894991	896124	+	1134	1	4	1	3	9	2	13	1	3	5	6	7	0	3	2	2	4	4	4	2	2	1	1	3	1	2	3	56	2	2	0	3	27	8	13	6	10	potG
b0856	NC_000913.3	896134	897087	+	954	1	2	4	1	2	4	7	4	0	0	3	0	1	3	0	3	3	1	1	0	1	3	0	0	0	7	1	32	4	2	3	1	7	5	1	2	3	potH
b0857	NC_000913.3	897084	897929	+	846	0	7	5	2	1	4	11	9	5	2	7	3	2	4	5	3	3	1	1	1	5	3	5	0	1	18	2	64	6	4	3	7	21	17	6	7	16	potI
b0858	NC_000913.3	897989	898477	+	489	4	21	2	2	11	4	8	7	2	18	28	2	11	12	3	4	10	1	0	9	6	8	3	3	1	10	5	9	8	5	11	11	14	21	9	2	6	ybjO
b0859	NC_000913.3	898518	899645	+	1128	4	4	11	5	20	20	24	24	16	17	5	12	17	10	6	7	4	5	7	17	33	17	4	2	5	27	20	16	35	6	36	33	15	105	16	10	27	rlmC
b0860	NC_000913.3	899844	900575	-	732	0	2	8	3	6	4	6	11	3	1	2	5	5	2	3	3	5	0	2	9	8	6	2	0	1	4	5	9	8	0	3	12	9	12	3	1	2	artJ
b0861	NC_000913.3	900866	901534	-	669	15	24	26	14	30	38	18	49	39	14	9	20	26	25	16	26	13	6	19	13	27	15	7	9	11	207	12	428	58	22	65	33	208	140	46	17	65	artM
b0862	NC_000913.3	901534	902250	-	717	22	25	14	17	19	39	24	50	38	14	5	19	29	20	17	39	22	19	19	17	25	13	15	10	2	234	10	446	65	56	65	44	331	221	86	17	79	artQ
b0863	NC_000913.3	902257	902988	-	732	28	41	25	21	42	82	52	103	56	20	26	37	57	48	33	63	41	28	43	35	38	41	34	20	13	399	27	917	126	106	100	69	571	440	191	51	124	artI
b0864	NC_000913.3	903006	903734	-	729	21	27	21	23	28	32	16	27	34	44	23	25	31	41	19	56	50	26	30	26	22	33	24	24	8	126	20	288	128	136	72	62	403	280	231	46	69	artP
b0865	NC_000913.3	903952	904467	-	516	8	19	13	12	20	13	20	23	19	7	16	15	17	22	8	27	18	11	16	16	17	8	8	5	2	82	10	291	42	70	43	30	181	174	132	40	35	ybjP
b0866	NC_000913.3	904593	904916	+	324	16	10	18	21	20	6	4	6	4	12	19	12	21	17	4	15	17	32	9	22	19	22	7	7	2	57	13	220	22	91	13	18	114	95	176	38	40	ybjQ
b0867	NC_000913.3	904913	905743	+	831	21	17	27	34	41	19	18	29	22	12	19	29	31	27	21	24	25	23	23	38	40	25	16	12	3	90	22	245	37	66	32	41	154	187	99	32	44	amiD
b0868	NC_000913.3	905740	906753	-	1014	7	13	24	11	37	20	35	25	19	36	7	15	35	24	10	23	22	5	13	25	39	29	14	3	7	31	32	111	38	16	38	55	90	212	39	6	56	ybjS
b0869	NC_000913.3	906852	908282	-	1431	12	13	22	23	22	31	16	20	35	6	8	22	28	36	19	26	18	11	15	32	34	23	19	7	9	83	33	128	26	12	31	34	104	138	59	12	51	ybjT
b0870	NC_000913.3	908293	909294	-	1002	33	27	37	33	47	28	22	13	33	32	15	42	32	41	24	45	37	17	33	38	45	41	19	16	8	93	43	296	45	60	50	37	304	245	111	21	92	ltaE
b0871	NC_000913.3	909331	911049	-	1719	30	71	18	15	51	17	9	14	24	84	43	45	47	69	29	78	71	78	76	28	41	37	24	53	32	250	45	1236	126	302	101	55	701	176	624	173	158	poxB
b0872	NC_000913.3	911182	912150	-	969	2	1	2	1	3	2	1	5	1	4	1	3	3	2	1	2	1	1	0	0	3	3	5	0	0	12	6	17	1	2	6	6	3	76	6	0	5	hcr
b0873	NC_000913.3	912162	913814	-	1653	1	0	0	1	3	0	1	0	1	2	0	0	1	1	0	0	7	1	0	3	5	5	2	0	0	9	9	2	5	2	1	3	5	87	7	1	9	hcp
b0874	NC_000913.3	913958	914857	-	900	2	2	3	4	5	3	3	5	4	4	2	4	3	2	3	3	5	0	1	6	5	3	2	0	2	10	5	7	12	2	10	6	3	13	26	0	8	lysO
b0875	NC_000913.3	915352	916047	-	696	7	13	3	10	10	7	5	9	5	12	23	4	4	7	3	2	12	2	5	11	6	13	2	5	1	12	12	39	7	11	4	6	8	20	31	11	9	aqpZ
b0876	NC_000913.3	916473	918131	+	1659	14	7	13	19	12	12	15	21	9	6	11	12	24	22	7	9	7	6	13	21	30	17	7	5	7	43	25	121	26	26	25	21	66	115	72	16	28	ybjD
b0877	NC_000913.3	918128	919120	-	993	30	9	21	17	19	17	17	14	15	24	12	11	37	14	22	12	14	9	13	43	55	25	12	3	8	30	80	51	19	11	25	34	61	92	47	20	47	ybjX
b0878	NC_000913.3	919235	920350	+	1116	19	11	19	14	29	21	18	26	27	10	6	25	14	21	18	26	11	4	12	23	13	13	4	7	2	29	17	47	29	16	33	40	60	92	19	2	31	macA
b0879	NC_000913.3	920347	922293	+	1947	57	59	39	38	67	55	43	58	43	38	36	59	30	44	40	35	43	16	19	45	36	48	25	23	10	283	46	408	69	59	74	70	206	226	80	52	123	macB
b0880	NC_000913.3	922366	922590	-	225	360	423	253	285	410	522	371	766	352	280	462	232	446	397	131	142	670	100	158	357	294	277	203	149	66	2067	168	6695	136	788	147	169	430	306	898	757	278	cspD
b4770	NC_000913.3	922740	922814	+	75	8	7	4	2	4	8	15	4	7	8	1	3	3	2	8	6	6	0	3	2	2	3	4	2	1	4	17	10	15	2	11	12	7	17	12	1	4	yljB
b0881	NC_000913.3	922913	923233	+	321	61	59	39	37	49	46	43	28	46	59	37	51	22	42	25	38	47	1	21	41	43	35	25	25	11	14	90	59	84	32	78	93	63	112	44	15	31	clpS
b0882	NC_000913.3	923264	925540	+	2277	1163	759	901	745	993	860	695	710	686	601	382	866	651	734	523	607	702	1103	592	801	683	744	393	274	126	3790	823	5402	665	2526	665	762	3640	4124	2977	1049	1523	clpA
b0883	NC_000913.3	925884	925971	-	88	6	13	8	12	15	10	19	4	4	6	13	4	30	8	3	5	22	590	4	12	17	15	12	6	1	316	2	426	12	525	6	13	205	247	282	252	418	serW
b0884	NC_000913.3	926225	926443	-	219	45	62	139	104	202	94	126	92	82	182	97	178	329	268	64	36	180	5	30	236	284	228	85	29	28	20	324	45	543	8	466	652	21	481	42	16	93	infA
b0885	NC_000913.3	926728	927432	-	705	18	12	14	10	23	24	21	20	14	36	21	21	23	20	2	5	15	9	10	22	31	18	7	10	5	24	10	27	19	26	16	17	25	44	71	15	43	aat
b0886	NC_000913.3	927474	929195	-	1722	32	16	51	45	49	27	21	31	40	13	8	43	38	41	8	17	19	11	15	55	66	48	13	3	5	71	28	51	48	15	35	49	98	140	42	4	55	cydC
b0887	NC_000913.3	929196	930962	-	1767	37	14	53	42	56	27	28	25	30	21	6	41	47	45	16	27	32	19	28	66	75	59	10	7	5	73	26	58	42	44	41	46	104	152	70	8	44	cydD
b0888	NC_000913.3	931085	932050	-	966	45	24	75	43	63	25	13	21	25	54	17	46	76	72	8	7	36	5	22	82	87	86	16	10	4	60	44	63	44	12	38	44	49	94	27	5	41	trxB
b0889	NC_000913.3	932595	933089	+	495	128	73	97	93	124	110	88	104	90	57	41	145	78	120	37	35	77	10	64	115	79	96	74	34	21	111	134	193	59	22	48	50	63	180	27	14	142	lrp
b0890	NC_000913.3	933224	937213	+	3990	301	245	398	296	366	437	275	454	490	200	118	482	329	337	193	247	237	59	203	357	415	374	171	95	69	776	286	1445	497	239	478	468	1008	1263	287	82	630	ftsK
b0891	NC_000913.3	937372	937983	+	612	97	118	126	96	158	92	102	104	110	97	121	154	123	150	43	40	100	14	35	106	110	97	34	13	10	80	83	146	99	21	84	87	78	171	68	10	86	lolA
b0892	NC_000913.3	937994	939337	+	1344	73	47	77	55	63	88	71	68	111	51	13	111	78	62	37	25	47	8	32	76	83	62	30	16	8	106	62	106	68	26	63	61	119	256	40	10	104	rarA
b0893	NC_000913.3	939428	940720	+	1293	424	236	407	362	406	473	354	509	453	253	78	478	368	365	232	261	256	106	219	388	397	405	210	129	73	1101	628	1240	455	273	441	640	1248	3397	308	105	753	serS
b0894	NC_000913.3	940959	943403	+	2445	18	12	10	24	26	12	8	15	13	11	2	12	31	27	26	12	10	5	2	45	42	29	10	9	4	17	446	21	23	7	30	72	42	1214	16	4	67	dmsA
b0895	NC_000913.3	943414	944031	+	618	4	5	6	11	7	2	11	9	9	1	0	2	8	9	4	8	7	1	2	8	10	18	4	2	0	2	138	11	4	3	7	9	14	216	3	6	28	dmsB
b0896	NC_000913.3	944033	944896	+	864	5	12	5	14	11	8	10	15	10	9	7	19	23	12	13	6	16	5	4	22	13	19	6	6	2	41	166	64	14	10	15	23	40	564	29	13	70	dmsC
b0897	NC_000913.3	944931	945557	-	627	17	43	21	22	47	2	6	4	6	45	52	38	44	39	12	40	47	10	25	22	24	16	12	10	11	70	14	221	62	116	16	14	479	37	103	35	147	ycaC
b0898	NC_000913.3	945871	947019	+	1149	30	52	95	36	157	15	181	29	10	219	70	40	81	106	4	8	67	2	6	83	153	112	20	7	3	73	55	63	27	24	16	30	33	83	82	10	29	ycaD
b0899	NC_000913.3	947229	948659	+	1431	2	3	1	4	14	4	10	2	4	3	2	2	8	7	0	0	4	0	2	13	15	11	2	2	1	2	2	3	4	0	0	7	5	4	25	3	7	ycaM
b0900	NC_000913.3	948660	949568	-	909	0	1	1	0	3	0	1	0	1	0	0	1	3	1	0	1	2	0	0	1	9	3	1	0	0	2	1	5	2	0	2	2	3	5	10	1	3	ycaN
b0901	NC_000913.3	949668	950258	+	591	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	1	0	0	0	0	0	4	1	1	0	1	ycaK
b0902	NC_000913.3	950340	951080	-	741	48	47	39	50	41	65	63	50	52	34	29	57	80	52	37	39	50	29	27	60	65	59	34	19	7	190	94	525	102	108	118	178	170	580	150	34	88	pflA
b0903	NC_000913.3	951272	953554	-	2283	1077	693	951	732	1002	280	280	196	334	444	304	899	1029	898	570	753	630	982	693	922	996	896	400	399	241	4139	1915	9087	1020	2502	783	832	7589	5712	2846	1631	2303	pflB
b0904	NC_000913.3	953609	954466	-	858	36	43	37	34	40	13	22	7	12	47	36	45	57	54	15	43	52	85	40	56	61	57	21	24	13	291	141	533	52	321	42	42	269	216	514	148	76	focA
b0905	NC_000913.3	954872	956632	-	1761	88	27	133	86	152	36	44	35	60	40	11	200	177	150	34	15	36	7	50	175	201	189	49	15	13	39	63	40	127	10	97	120	38	167	23	10	89	ycaO
b0906	NC_000913.3	956762	957454	+	693	4	10	10	7	13	9	6	8	7	25	17	6	5	17	3	2	10	5	4	8	3	6	2	3	1	15	3	53	15	9	13	8	14	23	14	8	4	ycaP
b0907	NC_000913.3	957653	958741	+	1089	160	78	113	97	130	90	73	113	79	111	36	172	96	116	51	51	88	47	92	119	109	109	53	43	17	206	88	305	83	104	74	97	231	179	142	30	133	serC
b0908	NC_000913.3	958812	960095	+	1284	52	14	63	31	53	50	39	46	50	34	13	49	41	49	7	7	26	8	30	41	39	41	24	16	5	36	51	57	26	23	21	35	22	54	33	13	34	aroA
b0909	NC_000913.3	960264	961028	+	765	1	2	6	3	4	3	4	5	3	10	7	3	8	4	2	0	3	0	3	2	3	5	1	0	0	6	0	18	7	2	2	3	8	13	19	3	11	ycaL
b0910	NC_000913.3	961201	961884	+	684	69	134	127	65	151	69	86	86	87	206	169	169	176	186	36	44	126	35	54	177	233	188	51	50	33	99	132	312	155	120	159	190	138	428	220	49	206	cmk
b0911	NC_000913.3	961995	963668	+	1674	2504	1535	3183	2363	3574	1627	1674	2184	2099	1297	676	4051	3513	3694	1194	742	1354	554	1244	4244	4467	4132	1271	677	440	5361	2386	12238	2567	1483	2058	2750	3453	7560	1052	826	5312	rpsA
b0912	NC_000913.3	963828	964112	+	285	70	108	106	90	106	72	56	63	53	68	127	117	122	151	43	38	143	10	74	135	109	116	62	53	28	61	75	246	93	76	79	96	111	58	307	64	80	ihfB
b0913	NC_000913.3	964320	966584	+	2265	4	11	23	12	21	13	23	13	9	14	2	10	10	20	7	6	13	11	6	20	25	17	7	4	4	24	11	20	24	8	27	32	26	82	26	8	20	ycaI
b0914	NC_000913.3	966621	968369	+	1749	103	70	136	105	153	360	238	369	388	60	26	156	143	137	187	175	66	30	66	177	205	192	82	55	37	517	153	406	419	85	387	446	760	972	139	57	419	msbA
b0915	NC_000913.3	968366	969352	+	987	28	35	39	35	54	139	99	165	111	12	10	73	58	38	72	58	26	7	18	78	73	72	28	13	11	169	44	206	138	29	97	139	238	529	31	11	206	lpxK
b0916	NC_000913.3	969389	970621	+	1233	12	9	12	3	14	35	24	33	38	9	3	18	21	28	18	10	9	12	5	22	14	19	8	5	4	14	20	25	27	7	37	38	22	108	13	3	32	ycaQ
b0917	NC_000913.3	970673	970855	+	183	16	10	11	13	12	7	6	7	5	10	8	15	8	15	6	7	3	5	5	10	15	13	5	3	1	9	9	20	12	14	12	10	28	29	22	12	20	ycaR
b0918	NC_000913.3	970852	971598	+	747	54	24	74	69	69	36	25	48	33	25	8	62	53	54	18	22	35	16	46	86	73	90	22	11	8	112	59	111	43	79	34	49	111	247	84	23	110	kdsB
b0919	NC_000913.3	971752	972645	+	894	33	13	32	51	47	43	33	55	40	22	4	36	66	45	15	11	31	7	18	63	90	60	30	12	6	56	191	59	31	25	63	87	42	417	50	7	31	ycbJ
b0920	NC_000913.3	972622	973401	-	780	6	2	16	8	18	11	12	7	10	12	3	10	24	26	5	8	6	1	6	11	24	10	8	3	2	19	28	29	16	3	14	13	29	184	16	2	19	elyC
b0921	NC_000913.3	973537	974322	+	786	25	19	27	21	33	25	22	16	16	41	21	37	42	47	22	15	36	11	11	46	29	32	11	5	2	33	21	22	36	11	32	39	52	94	49	5	48	cmoM
b0922	NC_000913.3	974319	975641	+	1323	39	28	56	40	65	37	34	23	36	39	14	54	54	52	28	25	43	4	30	78	81	70	13	12	7	47	44	55	39	12	53	57	100	177	15	4	56	mukF
b0923	NC_000913.3	975622	976326	+	705	27	21	32	21	37	20	24	22	17	32	7	38	22	38	14	14	17	3	27	32	47	42	8	5	1	38	14	42	23	11	18	20	93	161	8	4	54	mukE
b0924	NC_000913.3	976326	980786	+	4461	186	87	198	173	220	146	140	282	184	53	53	261	166	220	116	97	85	34	76	219	229	189	61	41	18	535	147	641	130	60	158	206	609	1072	97	40	339	mukB
b0925	NC_000913.3	981047	982894	+	1848	148	123	90	69	123	203	150	290	285	125	81	175	126	138	156	208	85	42	98	86	118	113	109	103	62	411	109	1053	391	213	265	234	724	682	414	77	256	ldtD
b0926	NC_000913.3	983075	983623	+	549	314	217	288	210	315	1168	848	991	979	325	112	343	247	277	169	227	257	28	161	292	249	261	327	250	102	366	361	332	571	64	322	415	367	377	254	102	425	mepK
b0927	NC_000913.3	983650	984297	+	648	228	131	194	142	245	1258	742	985	813	159	55	298	216	217	149	197	162	17	103	258	201	209	223	151	65	253	264	266	379	52	250	319	252	375	96	47	319	gloC
b0928	NC_000913.3	984519	985709	-	1191	141	84	201	189	218	170	151	171	167	80	33	184	174	217	99	74	92	25	97	257	220	249	164	85	41	188	325	215	217	54	180	265	276	873	85	43	403	aspC
b0929	NC_000913.3	985894	986982	-	1089	196	122	485	473	600	79	158	80	68	139	62	359	773	729	9	8	273	4	110	699	707	665	138	68	51	91	70	101	19	11	22	26	32	99	104	18	534	ompF
b0930	NC_000913.3	987585	988985	-	1401	248	167	380	265	327	857	551	1528	836	181	76	369	317	318	421	420	181	58	149	345	362	353	250	161	87	2284	493	2634	1008	143	912	1211	1164	3008	256	134	931	asnS
b0931	NC_000913.3	989154	990356	-	1203	80	55	135	114	143	249	201	346	273	87	28	154	119	100	120	123	82	40	68	123	149	134	91	65	19	309	144	320	362	77	329	389	216	527	210	67	204	pncB
b0932	NC_000913.3	990622	993234	+	2613	140	117	296	269	284	83	57	95	103	74	52	255	194	235	103	117	152	53	121	261	186	262	66	43	14	225	191	575	140	168	147	168	762	658	206	78	235	pepN
b0933	NC_000913.3	993277	994044	-	768	4	0	7	3	7	3	4	6	6	3	3	7	2	4	0	2	7	1	1	3	3	3	3	1	0	6	8	31	6	3	9	13	17	24	5	1	7	ssuB
b0934	NC_000913.3	994041	994832	-	792	0	0	0	1	2	0	0	2	1	0	0	2	0	1	0	0	0	0	3	0	0	0	0	0	0	3	0	1	0	0	0	0	3	5	2	0	1	ssuC
b0935	NC_000913.3	994843	995988	-	1146	0	1	1	2	2	0	2	1	4	0	0	0	0	2	0	0	1	0	0	1	1	2	2	0	0	0	1	5	1	4	1	0	5	6	4	1	3	ssuD
b0936	NC_000913.3	995985	996944	-	960	0	1	0	1	3	0	1	0	1	0	4	1	0	2	1	0	1	2	0	0	0	0	1	3	0	0	1	2	1	2	3	0	6	1	4	0	1	ssuA
b0937	NC_000913.3	996937	997512	-	576	1	2	2	1	4	0	0	1	0	2	1	2	0	3	1	1	2	0	1	1	1	1	0	0	0	6	2	1	1	3	0	5	2	5	4	4	4	ssuE
b0938	NC_000913.3	997868	998407	+	540	0	2	0	1	4	0	2	1	0	1	1	0	0	2	1	3	1	4	0	3	3	3	3	1	0	2	3	6	4	2	1	1	0	3	4	1	0	elfA
b0939	NC_000913.3	998490	999191	+	702	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	1	0	4	0	2	1	1	2	0	0	0	0	1	0	0	1	1	0	1	6	1	2	elfD
b0940	NC_000913.3	999216	1001816	+	2601	1	2	3	1	2	1	5	1	3	2	2	3	3	2	0	2	4	5	1	5	6	1	1	1	1	3	6	6	3	1	2	5	7	11	18	3	6	elfC
b0941	NC_000913.3	1001807	1002877	+	1071	1	0	2	4	6	2	3	1	0	3	4	2	1	4	3	0	2	3	0	4	2	0	0	2	0	1	3	3	6	2	1	5	8	17	12	2	5	elfG
b0942	NC_000913.3	1002889	1003431	+	543	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	3	1	0	1	1	2	0	0	0	0	1	0	5	0	2	1	1	4	8	0	0	ycbU
b0943	NC_000913.3	1003439	1003954	+	516	0	0	0	0	1	2	0	0	0	2	2	1	0	3	0	0	1	0	1	0	2	1	0	0	0	0	0	2	2	0	1	1	3	3	2	1	1	ycbV
b0944	NC_000913.3	1003947	1004657	+	711	5	4	6	3	6	20	21	20	17	12	5	7	4	9	5	5	9	6	1	5	4	5	14	16	8	17	22	51	26	4	13	20	38	68	13	10	44	ycbF
b0945	NC_000913.3	1004768	1005778	+	1011	5	3	11	9	16	5	9	6	6	8	4	8	45	24	6	0	8	1	2	28	65	36	7	2	2	3	29	5	23	2	18	34	1	63	6	0	17	pyrD
b0946	NC_000913.3	1005952	1006494	+	543	9	9	31	18	37	10	8	12	3	7	3	22	52	31	1	2	23	0	11	63	51	61	9	7	3	19	16	9	14	14	11	11	22	23	21	3	26	zapC
b0947	NC_000913.3	1006491	1007600	-	1110	35	23	44	40	51	14	29	17	25	24	5	44	50	52	15	17	38	5	27	39	46	29	29	12	6	12	30	19	31	21	33	53	17	75	49	11	29	ycbX
b0948	NC_000913.3	1007844	1009952	+	2109	26	19	53	50	64	88	83	125	122	44	21	57	63	58	74	54	41	18	21	91	98	86	74	44	25	90	148	150	166	22	202	262	234	787	45	32	283	rlmL
b0949	NC_000913.3	1009964	1011871	+	1908	40	35	57	48	79	107	90	127	100	33	37	63	81	64	82	38	34	6	23	104	102	98	63	34	20	93	150	183	177	42	175	221	176	471	66	20	153	uup
b0950	NC_000913.3	1012001	1013254	+	1254	18	28	27	9	23	41	21	57	46	26	21	19	16	24	13	24	17	24	7	27	25	31	15	11	7	106	41	259	55	66	60	75	121	236	64	23	67	pqiA
b0951	NC_000913.3	1013259	1014899	+	1641	14	12	24	19	29	55	32	73	65	14	10	32	29	31	20	38	13	14	18	22	29	29	19	15	6	108	52	242	77	35	74	80	145	255	48	14	79	pqiB
b0952	NC_000913.3	1014896	1015459	+	564	9	15	10	4	15	17	24	31	21	7	5	16	14	9	8	5	8	5	7	17	15	7	6	4	2	49	19	123	33	17	18	26	46	49	13	5	22	pqiC
b0953	NC_000913.3	1015715	1015882	+	168	4992	6746	3758	3338	5052	759	736	504	635	3800	4607	2131	2919	3676	1217	3902	5652	4462	3344	3340	3435	2698	2126	2212	414	5149	498	18745	4436	27458	1198	1291	20105	2441	19561	13241	11415	rmf
b0954	NC_000913.3	1015952	1016470	-	519	158	155	205	142	284	363	182	251	247	248	153	326	221	431	82	86	245	62	120	450	399	463	338	148	22	1006	621	1400	192	283	147	191	253	434	277	138	338	fabA
b0955	NC_000913.3	1016539	1018299	-	1761	70	106	119	113	131	89	82	95	124	106	97	147	134	124	83	87	82	35	60	148	145	155	56	35	7	278	105	884	246	152	217	273	347	675	225	52	136	ycbZ
b0956	NC_000913.3	1018485	1018937	+	453	4	8	16	19	13	11	10	24	20	11	7	10	7	13	9	4	12	3	4	18	13	14	6	3	3	13	19	22	19	4	17	29	30	65	15	5	13	matP
b0957	NC_000913.3	1019013	1020053	-	1041	1592	1094	3209	2654	3344	1805	1842	2609	2126	966	1019	3587	3223	3183	3437	2097	1574	384	1162	4051	3718	3653	1423	551	537	5107	5614	14686	8534	1448	8017	10509	11002	33423	1262	562	6826	ompA
b0958	NC_000913.3	1020410	1020919	-	510	22	40	61	36	43	40	35	46	32	39	49	55	49	43	30	30	55	12	16	57	67	62	16	15	8	40	37	194	106	65	112	130	85	205	132	45	187	sulA
b0959	NC_000913.3	1021138	1021767	+	630	12	5	8	9	21	8	8	11	4	7	6	9	11	13	4	3	10	2	2	8	14	10	5	4	1	9	7	12	15	3	6	16	18	30	103	2	13	sxy
b0960	NC_000913.3	1021730	1023883	-	2154	25	16	44	22	54	60	51	89	80	28	19	42	54	41	30	11	35	7	11	61	68	57	32	20	11	55	59	90	96	15	64	99	49	204	105	15	117	yccS
b0961	NC_000913.3	1023902	1024348	-	447	11	5	12	13	14	15	15	11	15	10	2	11	26	27	4	6	10	0	3	16	18	22	11	8	7	9	32	8	31	7	19	44	8	49	11	0	28	yccF
b0962	NC_000913.3	1024471	1026525	+	2055	42	25	48	52	44	92	77	79	102	15	20	44	41	51	63	55	36	17	28	64	62	54	53	24	24	197	125	337	101	52	101	131	407	476	149	21	171	helD
b0963	NC_000913.3	1026557	1027015	-	459	28	28	41	34	42	31	30	49	30	20	21	23	55	44	50	35	37	3	22	63	48	45	34	15	11	64	53	98	74	21	70	80	112	382	44	10	67	mgsA
b0964	NC_000913.3	1027111	1027773	-	663	0	3	1	0	4	4	4	8	2	3	6	1	1	5	0	1	4	3	3	3	1	0	2	2	3	3	2	14	7	13	7	9	14	18	44	1	3	yccT
b0965	NC_000913.3	1027946	1028359	+	414	32	47	32	30	31	13	5	7	6	26	35	32	32	36	9	23	42	79	23	25	26	24	8	25	0	119	20	535	27	301	31	38	194	147	356	114	83	yccU
b0966	NC_000913.3	1028404	1028721	-	318	194	234	92	79	115	148	118	147	101	160	288	137	160	118	122	163	200	359	77	95	121	94	126	80	41	977	105	2788	260	1823	321	379	823	760	2092	791	414	hspQ
b0967	NC_000913.3	1028779	1029969	-	1191	20	15	22	32	30	46	46	37	38	38	15	24	47	43	34	23	25	11	11	53	66	48	25	8	10	103	26	184	82	110	60	88	99	159	66	38	62	rlmI
b0968	NC_000913.3	1030064	1030342	+	279	16	23	11	10	11	9	6	10	6	5	23	12	11	12	7	6	15	5	0	6	11	9	5	5	2	26	9	78	10	28	11	10	19	22	71	10	23	yccX
b0969	NC_000913.3	1030339	1030668	-	330	21	21	20	14	23	36	26	42	25	10	7	27	32	15	8	5	20	7	12	24	22	27	14	12	3	25	16	39	20	19	16	17	12	22	27	8	7	tusE
b0970	NC_000913.3	1030759	1031418	-	660	907	410	773	635	815	680	554	1087	902	298	136	1013	539	542	242	251	251	123	287	566	468	525	487	266	94	1113	346	1059	639	405	529	530	659	405	1146	430	1285	yccA
b0971	NC_000913.3	1031625	1031712	-	88	9	10	7	5	15	6	15	3	4	7	10	6	23	10	1	2	13	322	8	14	21	12	7	5	1	176	5	124	7	192	2	3	40	87	57	95	187	serT
b0972	NC_000913.3	1032139	1033257	+	1119	21	35	31	18	38	7	8	5	7	22	31	33	45	59	7	10	35	1	27	26	35	31	1	1	1	31	3	94	10	33	7	11	15	9	36	4	13	hyaA
b0973	NC_000913.3	1033254	1035047	+	1794	11	44	19	16	34	13	10	8	5	18	9	47	48	50	2	10	32	9	20	33	34	34	1	3	1	24	8	85	11	13	5	10	19	27	9	5	20	hyaB
b0974	NC_000913.3	1035066	1035773	+	708	5	9	10	11	14	6	3	1	3	2	2	12	7	12	1	0	10	3	7	21	15	9	0	0	3	19	3	40	1	8	0	6	26	26	4	3	6	hyaC
b0975	NC_000913.3	1035770	1036357	+	588	8	7	7	5	16	4	6	3	4	3	5	13	13	12	2	3	9	0	11	8	8	10	1	1	0	26	3	40	4	5	5	4	19	30	11	2	13	hyaD
b0976	NC_000913.3	1036354	1036752	+	399	2	2	2	4	9	3	3	3	5	0	1	6	8	12	1	2	6	0	1	4	4	9	2	1	0	7	1	26	3	2	4	1	6	12	5	0	6	hyaE
b0977	NC_000913.3	1036749	1037606	+	858	7	10	4	8	10	4	3	2	6	2	2	14	12	17	2	7	5	1	1	13	11	15	1	0	0	11	3	22	8	1	5	6	13	18	8	5	2	hyaF
b0978	NC_000913.3	1037740	1039284	+	1545	12	7	19	8	29	7	4	13	13	4	9	20	13	22	4	4	11	7	4	16	14	12	6	3	2	50	8	80	7	6	7	14	51	42	17	9	14	appC
b0979	NC_000913.3	1039296	1040432	+	1137	3	1	6	5	12	4	4	9	8	3	2	12	8	9	3	4	6	0	4	9	8	11	2	1	0	27	3	66	8	3	13	5	22	26	10	5	16	appB
b4592	NC_000913.3	1040445	1040537	+	93	0	2	5	2	4	1	2	2	2	2	2	3	3	5	1	1	1	2	2	2	1	2	2	2	0	2	1	15	2	3	1	4	2	6	1	1	1	appX
b0980	NC_000913.3	1040617	1041915	+	1299	1	15	7	8	14	7	11	9	9	6	3	18	8	14	2	7	15	0	3	13	12	12	2	4	0	21	5	50	12	11	8	6	30	38	14	3	4	appA
b0981	NC_000913.3	1042030	1044210	-	2181	8	17	15	16	23	26	28	52	33	13	14	19	11	15	8	17	8	6	6	19	13	13	10	7	5	100	20	292	39	24	23	22	45	97	43	22	48	etk
b0982	NC_000913.3	1044230	1044676	-	447	3	0	0	0	1	1	2	0	2	0	0	1	1	2	1	0	0	0	0	0	0	0	1	0	0	2	0	3	1	0	0	1	7	4	2	0	4	etp
b0983	NC_000913.3	1044664	1045803	-	1140	0	0	0	1	0	2	1	1	0	6	2	3	7	3	2	2	1	1	2	0	3	0	0	0	0	0	0	3	1	2	2	2	3	9	10	2	4	gfcE
